Method,Nodes,Cyclomatic Complexity
org/assertj/core/internal/Classes.assertHasPublicMethods(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;[Ljava/lang/String;)V,120,5
org/assertj/core/internal/Classes.getMethodsWithModifier(Ljava/util/Set;I)Ljava/util/SortedSet;,42,3
org/assertj/core/internal/Classes.noNonMatchingModifier(Ljava/util/Set;Ljava/util/Map;Ljava/util/Map;I)Z,52,4
org/assertj/core/internal/Classes.hasPublicMethods([Ljava/lang/reflect/Method;)Z,41,3
org/assertj/core/internal/Classes.methodsToName(Ljava/util/Set;)Ljava/util/SortedSet;,35,2
org/assertj/core/internal/Classes.methodsToNameAndModifier([Ljava/lang/reflect/Method;)Ljava/util/Map;,48,2
org/assertj/core/internal/Classes.getAllMethods(Ljava/lang/Class;)[Ljava/lang/reflect/Method;,45,2
org/assertj/core/internal/Classes.filterSyntheticMembers([Ljava/lang/reflect/Member;)Ljava/util/Set;,46,3
org/assertj/core/internal/Classes.assertNotNull(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;)V,11,1
org/assertj/core/internal/Classes.classParameterIsNotNull(Ljava/lang/Class;)V,11,1
org/assertj/core/internal/CommonErrors.arrayOfValuesToLookForIsNull()Ljava/lang/NullPointerException;,9,1
org/assertj/core/internal/CommonErrors.iterableToLookForIsNull()Ljava/lang/NullPointerException;,9,1
org/assertj/core/internal/CommonErrors.iterableOfValuesToLookForIsNull()Ljava/lang/NullPointerException;,9,1
org/assertj/core/internal/CommonErrors.arrayOfValuesToLookForIsEmpty()Ljava/lang/IllegalArgumentException;,9,1
org/assertj/core/internal/CommonErrors.iterableOfValuesToLookForIsEmpty()Ljava/lang/IllegalArgumentException;,9,1
org/assertj/core/internal/CommonErrors.wrongElementTypeForFlatExtracting(Ljava/lang/Object;)V,21,1
org/assertj/core/internal/CommonErrors.<init>()V,7,1
org/assertj/core/internal/Doubles.<clinit>()V,9,1
org/assertj/core/internal/Doubles.instance()Lorg/assertj/core/internal/Doubles;,6,1
org/assertj/core/internal/Doubles.<init>()V,9,1
org/assertj/core/internal/Doubles.<init>(Lorg/assertj/core/internal/ComparisonStrategy;)V,10,1
org/assertj/core/internal/Doubles.zero()Ljava/lang/Double;,7,1
org/assertj/core/internal/Doubles.one()Ljava/lang/Double;,7,1
org/assertj/core/internal/Doubles.NaN()Ljava/lang/Double;,7,1
org/assertj/core/internal/Doubles.absDiff(Ljava/lang/Double;Ljava/lang/Double;)Ljava/lang/Double;,12,1
org/assertj/core/internal/Doubles.one()Ljava/lang/Number;,7,1
org/assertj/core/internal/Doubles.zero()Ljava/lang/Number;,7,1
org/assertj/core/internal/Doubles.NaN()Ljava/lang/Number;,7,1
org/assertj/core/internal/Doubles.absDiff(Ljava/lang/Number;Ljava/lang/Number;)Ljava/lang/Number;,11,1
org/assertj/core/internal/Predicates.<clinit>()V,9,1
org/assertj/core/internal/Predicates.instance()Lorg/assertj/core/internal/Predicates;,6,1
org/assertj/core/internal/Predicates.<init>()V,14,1
org/assertj/core/internal/Predicates.assertIsNotNull(Ljava/util/function/Predicate;)V,11,1
org/assertj/core/internal/Urls.<clinit>()V,9,1
org/assertj/core/internal/Urls.instance()Lorg/assertj/core/internal/Urls;,6,1
org/assertj/core/internal/Urls.<init>()V,14,1
org/assertj/core/internal/Urls.assertHasProtocol(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;)V,26,2
org/assertj/core/internal/Urls.assertHasPath(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;)V,41,3
org/assertj/core/internal/Urls.assertHasPort(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;I)V,25,2
org/assertj/core/internal/Urls.assertHasHost(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;)V,26,2
org/assertj/core/internal/Urls.assertHasAuthority(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;)V,28,2
org/assertj/core/internal/Urls.assertHasQuery(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;)V,26,2
org/assertj/core/internal/Urls.assertHasAnchor(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;)V,26,2
org/assertj/core/internal/Urls.assertHasUserInfo(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;)V,26,2
org/assertj/core/internal/Urls.assertHasParameter(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;)V,31,2
org/assertj/core/internal/Urls.assertHasParameter(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;)V,60,3
org/assertj/core/internal/Urls.assertHasNoParameters(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;)V,31,2
org/assertj/core/internal/Urls.assertHasNoParameter(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;)V,37,2
org/assertj/core/internal/Urls.assertHasNoParameter(Lorg/assertj/core/api/AssertionInfo;Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;)V,48,3
org/assertj/core/internal/CharArrays.<clinit>()V,9,1
org/assertj/core/internal/CharArrays.instance()Lorg/assertj/core/internal/CharArrays;,6,1
org/assertj/core/internal/CharArrays.<init>()V,10,1
org/assertj/core/internal/CharArrays.getComparator()Ljava/util/Comparator;,8,1
org/assertj/core/internal/CharArrays.<init>(Lorg/assertj/core/internal/ComparisonStrategy;)V,27,1
org/assertj/core/internal/CharArrays.setArrays(Lorg/assertj/core/internal/Arrays;)V,10,1
org/assertj/core/internal/CharArrays.assertNullOrEmpty(Lorg/assertj/core/api/AssertionInfo;[C)V,14,1
org/assertj/core/internal/CharArrays.assertEmpty(Lorg/assertj/core/api/AssertionInfo;[C)V,14,1
org/assertj/core/internal/CharArrays.assertNotEmpty(Lorg/assertj/core/api/AssertionInfo;[C)V,14,1
org/assertj/core/internal/CharArrays.assertHasSize(Lorg/assertj/core/api/AssertionInfo;[CI)V,15,1
org/assertj/core/internal/CharArrays.assertHasSameSizeAs(Lorg/assertj/core/api/AssertionInfo;[CLjava/lang/Iterable;)V,13,1
org/assertj/core/internal/CharArrays.assertHasSameSizeAs(Lorg/assertj/core/api/AssertionInfo;[C[Ljava/lang/Object;)V,13,1
org/assertj/core/internal/CharArrays.assertContains(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertContains(Lorg/assertj/core/api/AssertionInfo;[CCLorg/assertj/core/data/Index;)V,17,1
org/assertj/core/internal/CharArrays.assertDoesNotContain(Lorg/assertj/core/api/AssertionInfo;[CCLorg/assertj/core/data/Index;)V,17,1
org/assertj/core/internal/CharArrays.assertContainsOnly(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertContainsExactly(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertContainsExactlyInAnyOrder(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertContainsOnlyOnce(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertContainsSequence(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertContainsSubsequence(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertDoesNotContain(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertDoesNotHaveDuplicates(Lorg/assertj/core/api/AssertionInfo;[C)V,14,1
org/assertj/core/internal/CharArrays.assertStartsWith(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertEndsWith(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/CharArrays.assertIsSorted(Lorg/assertj/core/api/AssertionInfo;[C)V,14,1
org/assertj/core/internal/CharArrays.assertIsSortedAccordingToComparator(Lorg/assertj/core/api/AssertionInfo;[CLjava/util/Comparator;)V,13,1
org/assertj/core/internal/CharArrays.assertContainsAnyOf(Lorg/assertj/core/api/AssertionInfo;[C[C)V,15,1
org/assertj/core/internal/ByteArrays.<clinit>()V,9,1
org/assertj/core/internal/ByteArrays.instance()Lorg/assertj/core/internal/ByteArrays;,6,1
org/assertj/core/internal/ByteArrays.<init>()V,10,1
org/assertj/core/internal/ByteArrays.<init>(Lorg/assertj/core/internal/ComparisonStrategy;)V,27,1
org/assertj/core/internal/ByteArrays.setArrays(Lorg/assertj/core/internal/Arrays;)V,10,1
org/assertj/core/internal/ByteArrays.getComparator()Ljava/util/Comparator;,8,1
org/assertj/core/internal/ByteArrays.assertNullOrEmpty(Lorg/assertj/core/api/AssertionInfo;[B)V,14,1
org/assertj/core/internal/ByteArrays.assertEmpty(Lorg/assertj/core/api/AssertionInfo;[B)V,14,1
org/assertj/core/internal/ByteArrays.assertNotEmpty(Lorg/assertj/core/api/AssertionInfo;[B)V,14,1
org/assertj/core/internal/ByteArrays.assertHasSize(Lorg/assertj/core/api/AssertionInfo;[BI)V,15,1
org/assertj/core/internal/ByteArrays.assertHasSameSizeAs(Lorg/assertj/core/api/AssertionInfo;[BLjava/lang/Iterable;)V,13,1
org/assertj/core/internal/ByteArrays.assertContains(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertContains(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertContains(Lorg/assertj/core/api/AssertionInfo;[BBLorg/assertj/core/data/Index;)V,17,1
org/assertj/core/internal/ByteArrays.assertContains(Lorg/assertj/core/api/AssertionInfo;[BILorg/assertj/core/data/Index;)V,18,1
org/assertj/core/internal/ByteArrays.assertDoesNotContain(Lorg/assertj/core/api/AssertionInfo;[BBLorg/assertj/core/data/Index;)V,17,1
org/assertj/core/internal/ByteArrays.assertDoesNotContain(Lorg/assertj/core/api/AssertionInfo;[BILorg/assertj/core/data/Index;)V,18,1
org/assertj/core/internal/ByteArrays.assertContainsOnly(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertContainsOnly(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertContainsExactly(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertContainsExactly(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertContainsExactlyInAnyOrder(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertContainsExactlyInAnyOrder(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertContainsOnlyOnce(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertContainsOnlyOnce(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertContainsSequence(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertContainsSequence(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertContainsSubsequence(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertContainsSubsequence(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertDoesNotContain(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertDoesNotContain(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertDoesNotHaveDuplicates(Lorg/assertj/core/api/AssertionInfo;[B)V,14,1
org/assertj/core/internal/ByteArrays.assertStartsWith(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertStartsWith(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertEndsWith(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/ByteArrays.assertEndsWith(Lorg/assertj/core/api/AssertionInfo;[B[I)V,17,1
org/assertj/core/internal/ByteArrays.assertIsSorted(Lorg/assertj/core/api/AssertionInfo;[B)V,14,1
org/assertj/core/internal/ByteArrays.assertIsSortedAccordingToComparator(Lorg/assertj/core/api/AssertionInfo;[BLjava/util/Comparator;)V,13,1
org/assertj/core/internal/ByteArrays.toByteArray([I)[B,46,3
org/assertj/core/internal/ByteArrays.assertContainsAnyOf(Lorg/assertj/core/api/AssertionInfo;[B[B)V,15,1
org/assertj/core/internal/Numbers.<init>()V,9,1
org/assertj/core/internal/Numbers.<init>(Lorg/assertj/core/internal/ComparisonStrategy;)V,10,1
org/assertj/core/internal/Numbers.zero()Ljava/lang/Number;,2,1
org/assertj/core/internal/Numbers.one()Ljava/lang/Number;,2,1
org/assertj/core/internal/Numbers.assertIsZero(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;)V,13,1
org/assertj/core/internal/Numbers.assertIsNotZero(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;)V,13,1
org/assertj/core/internal/Numbers.assertIsOne(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;)V,13,1
org/assertj/core/internal/Numbers.assertIsNegative(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;)V,13,1
org/assertj/core/internal/Numbers.assertIsPositive(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;)V,13,1
org/assertj/core/internal/Numbers.assertIsNotNegative(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;)V,13,1
org/assertj/core/internal/Numbers.assertIsNotPositive(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;)V,13,1
org/assertj/core/internal/Numbers.assertIsBetween(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Number;)V,15,1
org/assertj/core/internal/Numbers.assertIsStrictlyBetween(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Number;)V,15,1
org/assertj/core/internal/Numbers.assertIsCloseTo(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;Ljava/lang/Number;Lorg/assertj/core/data/Offset;)V,53,3
org/assertj/core/internal/Numbers.assertIsNotCloseTo(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;Ljava/lang/Number;Lorg/assertj/core/data/Offset;)V,51,3
org/assertj/core/internal/Numbers.assertIsCloseToPercentage(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;Ljava/lang/Number;Lorg/assertj/core/data/Percentage;)V,74,5
org/assertj/core/internal/Numbers.assertIsNotCloseToPercentage(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Number;Ljava/lang/Number;Lorg/assertj/core/data/Percentage;)V,73,5
org/assertj/core/internal/Numbers.absDiff(Ljava/lang/Number;Ljava/lang/Number;)Ljava/lang/Number;,2,1
org/assertj/core/internal/Numbers.isGreaterThan(Ljava/lang/Number;Ljava/lang/Number;)Z,2,1
org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy.<init>(Ljava/util/Comparator;)V,14,1
org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy.areEqual(Ljava/lang/Object;Ljava/lang/Object;)Z,43,8
org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy.compareElementsOf(Ljava/util/concurrent/atomic/AtomicReferenceArray;[Ljava/lang/Object;)Z,47,4
org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy.toString()Ljava/lang/String;,22,1
org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy.asText()Ljava/lang/String;,16,1
org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy.isStandard()Z,6,1
org/assertj/core/internal/IterableElementComparisonStrategy.<init>(Ljava/util/Comparator;)V,14,1
org/assertj/core/internal/IterableElementComparisonStrategy.areEqual(Ljava/lang/Object;Ljava/lang/Object;)Z,47,8
org/assertj/core/internal/IterableElementComparisonStrategy.compareElementsOf(Ljava/lang/Iterable;Ljava/lang/Iterable;)Z,54,4
org/assertj/core/internal/IterableElementComparisonStrategy.toString()Ljava/lang/String;,20,1
org/assertj/core/internal/IterableElementComparisonStrategy.asText()Ljava/lang/String;,16,1
org/assertj/core/internal/IterableElementComparisonStrategy.isStandard()Z,6,1
org/assertj/core/internal/Diff.<init>()V,7,1
org/assertj/core/internal/Diff.diff(Ljava/io/InputStream;Ljava/io/InputStream;)Ljava/util/List;,13,1
org/assertj/core/internal/Diff.diff(Ljava/io/File;Ljava/nio/charset/Charset;Ljava/io/File;Ljava/nio/charset/Charset;)Ljava/util/List;,13,1
org/assertj/core/internal/Diff.diff(Ljava/nio/file/Path;Ljava/nio/charset/Charset;Ljava/nio/file/Path;Ljava/nio/charset/Charset;)Ljava/util/List;,13,1
org/assertj/core/internal/Diff.diff(Ljava/io/File;Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/util/List;,11,1
org/assertj/core/internal/Diff.diff(Ljava/nio/file/Path;Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/util/List;,13,1
org/assertj/core/internal/Diff.readerFor(Ljava/io/InputStream;)Ljava/io/BufferedReader;,13,1
org/assertj/core/internal/Diff.readerFor(Ljava/lang/String;)Ljava/io/BufferedReader;,12,1
org/assertj/core/internal/Diff.diff(Ljava/io/BufferedReader;Ljava/io/BufferedReader;)Ljava/util/List;,66,2
org/assertj/core/internal/Diff.linesFromBufferedReader(Ljava/io/BufferedReader;)Ljava/util/List;,31,2
org/assertj/core/internal/DeepDifference$DualKey.<init>(Ljava/util/List;Ljava/lang/Object;Ljava/lang/Object;)V,24,1
org/assertj/core/internal/DeepDifference$DualKey.equals(Ljava/lang/Object;)Z,35,4
org/assertj/core/internal/DeepDifference$DualKey.hashCode()I,38,3
org/assertj/core/internal/DeepDifference$DualKey.toString()Ljava/lang/String;,20,1
org/assertj/core/internal/DeepDifference$DualKey.getPath()Ljava/util/List;,7,1
org/assertj/core/internal/DeepDifference$DualKey.getConcatenatedPath()Ljava/lang/String;,10,1
org/assertj/core/internal/DeepDifference$DualKey.access$0(Lorg/assertj/core/internal/DeepDifference$DualKey;)Ljava/lang/Object;,7,1
org/assertj/core/internal/DeepDifference$DualKey.access$1(Lorg/assertj/core/internal/DeepDifference$DualKey;)Ljava/lang/Object;,7,1
org/assertj/core/internal/DeepDifference$DualKey.<init>(Ljava/util/List;Ljava/lang/Object;Ljava/lang/Object;Lorg/assertj/core/internal/DeepDifference$DualKey;)V,10,1
org/assertj/core/internal/CommonValidations.<clinit>()V,7,1
org/assertj/core/internal/CommonValidations.<init>()V,7,1
org/assertj/core/internal/CommonValidations.checkIndexValueIsValid(Lorg/assertj/core/data/Index;I)V,46,2
org/assertj/core/internal/CommonValidations.checkOffsetIsNotNull(Lorg/assertj/core/data/Offset;)V,11,1
org/assertj/core/internal/CommonValidations.checkPercentageIsNotNull(Lorg/assertj/core/data/Percentage;)V,11,1
org/assertj/core/internal/CommonValidations.checkNumberIsNotNull(Ljava/lang/Number;)V,11,1
org/assertj/core/internal/CommonValidations.checkIsNotEmpty([Ljava/lang/Object;)V,13,2
org/assertj/core/internal/CommonValidations.checkIsNotEmpty(Ljava/lang/Iterable;)V,14,2
org/assertj/core/internal/CommonValidations.checkIsNotNull([Ljava/lang/Object;)V,12,2
org/assertj/core/internal/CommonValidations.checkIsNotNull(Ljava/lang/Iterable;)V,12,2
org/assertj/core/internal/CommonValidations.checkIsNotNullAndNotEmpty([Ljava/lang/Object;)V,13,1
org/assertj/core/internal/CommonValidations.checkIsNotNullAndNotEmpty(Ljava/lang/Iterable;)V,13,1
org/assertj/core/internal/CommonValidations.failIfEmptySinceActualIsNotEmpty([Ljava/lang/Object;)V,16,2
org/assertj/core/internal/CommonValidations.hasSameSizeAsCheck(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Object;Ljava/lang/Object;I)V,18,1
org/assertj/core/internal/CommonValidations.hasSameSizeAsCheck(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Object;Ljava/lang/Iterable;I)V,18,1
org/assertj/core/internal/CommonValidations.hasSameSizeAsCheck(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Object;Ljava/util/Map;I)V,18,1
